scaffold	chromosome	bin	centimorgan
scaffold6827	15	NA	NA
scaffold596	12	9	66.67
scaffold227	13	6	41.67
scaffold1489	30	4	25.00
scaffold2870	31	3	16.67
scaffold621	16	4	25.00
scaffold1633	6	3	16.67
scaffold6460	1	NA	NA
scaffold1696	5	2	8.33
scaffold994	11	2	8.33
scaffold139	1	NA	NA
scaffold1738	2	8	58.33
scaffold199	1	3	16.67
scaffold2345	2	NA	NA
scaffold2753	23	6	41.67
scaffold2266	20	NA	NA
scaffold4556	30	1	0.00
scaffold1967	3	2	8.33
scaffold7852	5	2	8.33
scaffold2021	2	6	41.67
scaffold9745	15	6	41.67
scaffold5267	28	4	25.00
scaffold5693	26	NA	NA
scaffold4081	28	NA	NA
scaffold6614	9	7	50.00
scaffold4248	5	NA	NA
scaffold2121	8	3	16.67
scaffold1067	12	9	66.67
scaffold7438	30	NA	NA
scaffold2947	14	4	25.00
scaffold6633	5	2	8.33
scaffold185	6	3	16.67
scaffold3224	24	8	58.33
scaffold3072	10	NA	NA
scaffold7762	20	1	0.00
scaffold929	6	NA	NA
scaffold631	14	7	50.00
scaffold430	6	4	25.00
scaffold5304	2	8	58.33
scaffold6597	22	9	66.67
scaffold3282	12	9	66.67
scaffold2932	4	3	16.67
scaffold4019	11	5	33.33
scaffold5106	6	8	58.33
scaffold11413	29	2	8.33
scaffold1240	9	8	58.33
scaffold7553	20	NA	NA
scaffold4178	13	NA	NA
scaffold5051	9	3	16.67
scaffold661	1	4	25.00
scaffold823	18	3	16.67
scaffold4998	22	4	25.00
scaffold3712	14	4	25.00
scaffold2563	22	4	25.00
scaffold6170	26	NA	NA
scaffold2724	5	4	25.00
scaffold1205	17	NA	NA
scaffold8207	16	NA	NA
scaffold349	3	NA	NA
scaffold732	1	6	41.67
scaffold3483	25	2	8.33
scaffold7811	4	NA	NA
scaffold7876	1	6	41.67
scaffold6489	1	NA	NA
scaffold4796	3	4	25.00
scaffold2749	18	3	16.67
scaffold2237	4	NA	NA
scaffold99	4	3	16.67
scaffold1749	27	NA	NA
scaffold680	18	3	16.67
scaffold340	21	4	25.00
scaffold306	8	4	25.00
scaffold897	13	6	41.67
scaffold8083	4	7	50.00
scaffold3323	1	NA	NA
scaffold8027	6	5	33.33
scaffold3074	6	6	41.67
scaffold1652	22	3	16.67
scaffold10050	13	NA	NA
scaffold2242	9	8	58.33
scaffold1166	29	7	50.00
scaffold8116	19	1	0.00
scaffold398	23	NA	NA
scaffold1810	11	7	50.00
scaffold88	12	7	50.00
scaffold1372	3	4	25.00
scaffold1277	13	5	33.33
scaffold4834	1	1	0.00
scaffold3493	21	4	25.00
scaffold4202	9	NA	NA
scaffold1758	4	6	41.67
scaffold105	19	1	0.00
scaffold4173	1	NA	NA
scaffold109	7	1	0.00
scaffold5357	23	2	8.33
scaffold2515	7	8	58.33
scaffold2470	5	4	25.00
scaffold2133	26	3	16.67
scaffold2435	4	NA	NA
scaffold1923	31	2	8.33
scaffold4007	31	2	8.33
scaffold1819	1	3	16.67
scaffold1034	27	3	16.67
scaffold4634	10	2	8.33
scaffold5044	13	5	33.33
scaffold3089	9	5	33.33
scaffold1376	11	8	58.33
scaffold1319	8	4	25.00
scaffold4887	1	4	25.00
scaffold2601	26	6	41.67
scaffold4341	11	7	50.00
scaffold464	26	3	16.67
scaffold4976	21	NA	NA
scaffold2153	12	7	50.00
scaffold3574	24	4	25.00
scaffold297	5	NA	NA
scaffold8154	13	2	8.33
scaffold4359	1	3	16.67
scaffold5593	1	5	33.33
scaffold3844	20	1	0.00
scaffold2850	6	3	16.67
scaffold8186	15	2	8.33
scaffold2128	5	4	25.00
scaffold7586	3	4	25.00
scaffold1146	29	NA	NA
scaffold3098	6	6	41.67
scaffold6529	29	3	16.67
scaffold96	17	4	25.00
scaffold492	1	NA	NA
scaffold1569	14	4	25.00
scaffold1210	8	NA	NA
scaffold6870	10	1	0.00
scaffold2664	1	3	16.67
scaffold1827	14	7	50.00
scaffold1780	3	1	0.00
scaffold868	5	2	8.33
scaffold1667	9	5	33.33
scaffold2961	7	5	33.33
scaffold6807	30	4	25.00
scaffold953	9	3	16.67
scaffold1973	31	NA	NA
scaffold141	3	2	8.33
scaffold1730	1	3	16.67
scaffold7792	14	NA	NA
scaffold236	3	1	0.00
scaffold6586	5	1	0.00
scaffold5067	23	4	25.00
scaffold3037	1	NA	NA
scaffold3281	8	2	8.33
scaffold2689	2	NA	NA
scaffold950	16	1	0.00
scaffold1548	16	8	58.33
scaffold1995	4	3	16.67
scaffold2382	20	1	0.00
scaffold5881	6	5	33.33
scaffold6632	8	3	16.67
scaffold1889	27	3	16.67
scaffold2278	15	NA	NA
scaffold10268	31	1	0.00
scaffold7578	9	5	33.33
scaffold948	24	6	41.67
scaffold4795	13	6	41.67
scaffold294	18	3	16.67
scaffold1052	23	6	41.67
scaffold4594	8	1	0.00
scaffold2192	11	NA	NA
scaffold2116	4	7	50.00
scaffold111	22	6	41.67
scaffold4420	17	2	8.33
scaffold341	21	NA	NA
scaffold3248	1	3	16.67
scaffold3150	20	1	0.00
scaffold1115	25	NA	NA
scaffold4772	28	4	25.00
scaffold78	10	4	25.00
scaffold499	18	NA	NA
scaffold1643	27	1	0.00
scaffold155	6	4	25.00
scaffold2074	12	1	0.00
scaffold783	27	NA	NA
scaffold1382	2	8	58.33
scaffold620	15	4	25.00
scaffold2329	12	2	8.33
scaffold2925	24	6	41.67
scaffold334	9	8	58.33
scaffold35	26	3	16.67
scaffold3871	28	4	25.00
scaffold1590	16	1	0.00
scaffold3221	8	2	8.33
scaffold876	11	7	50.00
scaffold1086	24	6	41.67
scaffold8087	15	5	33.33
scaffold6464	18	5	33.33
scaffold1268	30	NA	NA
scaffold566	5	1	0.00
scaffold32	15	5	33.33
scaffold857	27	1	0.00
scaffold3186	19	1	0.00
scaffold4175	25	NA	NA
scaffold7350	1	NA	NA
scaffold2041	15	6	41.67
scaffold726	5	NA	NA
scaffold5888	11	6	41.67
scaffold3709	7	5	33.33
scaffold1920	7	3	16.67
scaffold1266	13	5	33.33
scaffold2425	2	7	50.00
scaffold4841	3	NA	NA
scaffold523	1	5	33.33
scaffold560	16	4	25.00
scaffold1375	15	4	25.00
scaffold4055	16	3	16.67
scaffold4739	4	NA	NA
scaffold379	23	1	0.00
scaffold2574	14	4	25.00
scaffold788	8	3	16.67
scaffold3352	5	1	0.00
scaffold7519	31	1	0.00
scaffold3190	29	NA	NA
scaffold814	8	5	33.33
scaffold7408	31	1	0.00
scaffold10980	1	NA	NA
scaffold2006	2	NA	NA
scaffold1100	10	NA	NA
scaffold5643	26	3	16.67
scaffold5121	31	1	0.00
scaffold5161	19	6	41.67
scaffold271	5	2	8.33
scaffold1222	21	NA	NA
scaffold283	4	7	50.00
scaffold1252	16	NA	NA
scaffold2854	19	NA	NA
scaffold1857	18	8	58.33
scaffold525	4	7	50.00
scaffold3556	4	3	16.67
scaffold3043	17	8	58.33
scaffold6604	29	2	8.33
scaffold715	27	3	16.67
scaffold3675	3	2	8.33
scaffold427	9	4	25.00
scaffold1228	30	1	0.00
scaffold3789	18	3	16.67
scaffold1340	20	8	58.33
scaffold2047	1	6	41.67
scaffold357	2	7	50.00
scaffold1142	17	1	0.00
scaffold4278	7	2	8.33
scaffold2696	1	3	16.67
scaffold1822	13	6	41.67
scaffold3461	1	3	16.67
scaffold5572	19	NA	NA
scaffold2319	18	7	50.00
scaffold3075	12	NA	NA
scaffold1518	25	7	50.00
scaffold4282	28	4	25.00
scaffold1911	10	4	25.00
scaffold2015	5	2	8.33
scaffold1742	1	3	16.67
scaffold1900	9	1	0.00
scaffold2831	10	4	25.00
scaffold5056	7	2	8.33
scaffold955	23	NA	NA
scaffold4952	4	6	41.67
scaffold4651	31	3	16.67
scaffold6171	6	3	16.67
scaffold4089	25	NA	NA
scaffold4697	10	2	8.33
scaffold2348	6	5	33.33
scaffold6129	5	2	8.33
scaffold5001	5	1	0.00
scaffold441	29	NA	NA
scaffold4272	17	4	25.00
scaffold2455	24	6	41.67
scaffold7640	30	1	0.00
scaffold3714	11	NA	NA
scaffold8144	19	4	25.00
scaffold3227	6	NA	NA
scaffold2893	18	3	16.67
scaffold3103	15	3	16.67
scaffold8529	8	4	25.00
scaffold8244	13	NA	NA
scaffold2780	23	8	58.33
scaffold1084	5	4	25.00
scaffold261	10	NA	NA
scaffold2997	2	NA	NA
scaffold1982	27	3	16.67
scaffold6406	26	NA	NA
scaffold1966	23	2	8.33
scaffold3915	23	2	8.33
scaffold1563	3	4	25.00
scaffold1841	15	5	33.33
scaffold42	4	NA	NA
scaffold4340	6	4	25.00
scaffold4728	12	NA	NA
scaffold2402	19	NA	NA
scaffold1445	24	6	41.67
scaffold7456	12	9	66.67
scaffold7758	11	3	16.67
scaffold4581	11	NA	NA
scaffold248	1	NA	NA
scaffold839	14	NA	NA
scaffold3445	19	1	0.00
scaffold5242	16	4	25.00
scaffold3114	1	3	16.67
scaffold851	19	1	0.00
scaffold150	16	NA	NA
scaffold444	22	7	50.00
scaffold1452	8	3	16.67
scaffold9846	29	NA	NA
scaffold1755	29	2	8.33
scaffold1227	14	4	25.00
scaffold1998	17	7	50.00
scaffold79	18	4	25.00
scaffold949	3	2	8.33
scaffold2573	25	NA	NA
scaffold1091	3	4	25.00
scaffold2654	6	6	41.67
scaffold1042	14	6	41.67
scaffold2643	6	4	25.00
scaffold4478	21	NA	NA
scaffold2155	5	2	8.33
scaffold3462	18	3	16.67
scaffold7964	10	2	8.33
scaffold1645	5	3	16.67
scaffold1075	27	3	16.67
scaffold1299	3	9	66.67
scaffold614	10	4	25.00
scaffold442	5	2	8.33
scaffold453	21	5	33.33
scaffold5160	15	5	33.33
scaffold1168	14	4	25.00
scaffold6989	21	NA	NA
scaffold601	30	1	0.00
scaffold2256	9	7	50.00
scaffold6667	4	NA	NA
scaffold1539	2	4	25.00
scaffold1220	25	NA	NA
scaffold4661	29	2	8.33
scaffold401	23	2	8.33
scaffold3026	23	1	0.00
scaffold7282	6	3	16.67
scaffold6885	10	2	8.33
scaffold5337	8	2	8.33
scaffold531	9	6	41.67
scaffold1828	14	7	50.00
scaffold2543	11	6	41.67
scaffold2579	17	NA	NA
scaffold2725	10	NA	NA
scaffold6572	4	NA	NA
scaffold1663	12	7	50.00
scaffold1734	3	NA	NA
scaffold2293	17	4	25.00
scaffold481	12	9	66.67
scaffold5861	11	6	41.67
scaffold396	15	NA	NA
scaffold2539	20	6	41.67
scaffold2200	7	2	8.33
scaffold4638	19	NA	NA
scaffold1038	7	6	41.67
scaffold3432	26	5	33.33
scaffold3418	11	6	41.67
scaffold2922	11	7	50.00
scaffold1337	4	3	16.67
scaffold1670	5	4	25.00
scaffold7587	7	8	58.33
scaffold724	4	2	8.33
scaffold1494	23	NA	NA
scaffold3657	25	1	0.00
scaffold1304	14	2	8.33
scaffold4125	11	7	50.00
